date,UNRATE,CPIAUCSL,FEDFUNDS,NASDAQCOM,RGDP,CRNT_ACCT,HOUSING,LABOR_FRC,MINIMUM_WAGE,YOUTH_UNEM
2014-07-31,6.2,237.498,0.09,4369.77,53452.0,-88671,1085.0,156007,7.25,13.2840003967285
2014-08-31,6.1,237.460,0.09,4580.27,53452.0,-88671,984.0,156130,7.25,13.2840003967285
2014-09-30,5.9,237.477,0.09,4493.39,53452.0,-88671,1023.0,156040,7.25,13.2840003967285
2014-10-31,5.7,237.430,0.09,4630.74,53646.0,-102378,1074.0,156417,7.25,13.2840003967285
2014-11-30,5.8,236.983,0.09,4791.63,53646.0,-102378,1001.0,156494,7.25,13.2840003967285
2014-12-31,5.6,236.252,0.12,4736.05,53646.0,-102378,1073.0,156332,7.25,13.2840003967285
2015-01-31,5.7,234.747,0.11,4635.24,54071.0,-99045,1085.0,157030,7.25,11.5120000839233
2015-02-28,5.5,235.342,0.11,4963.53,54071.0,-99045,886.0,156644,7.25,11.5120000839233
2015-03-31,5.4,235.976,0.11,4900.89,54071.0,-99045,960.0,156643,7.25,11.5120000839233
2015-04-30,5.4,236.222,0.12,4941.42,54348.0,-99318,1190.0,157060,7.25,11.5120000839233
2015-05-31,5.6,237.001,0.12,5070.03,54348.0,-99318,1079.0,157651,7.25,11.5120000839233
2015-06-30,5.3,237.657,0.13,4986.87,54348.0,-99318,1205.0,157062,7.25,11.5120000839233
2015-07-31,5.2,238.034,0.13,5128.28,54439.0,-109638,1146.0,156997,7.25,11.5120000839233
2015-08-31,5.1,238.033,0.14,4776.51,54439.0,-109638,1130.0,157172,7.25,11.5120000839233
2015-09-30,5.0,237.498,0.14,4620.16,54439.0,-109638,1224.0,156733,7.25,11.5120000839233
2015-10-31,5.0,237.733,0.12,5053.75,54420.0,-99354,1058.0,157167,7.25,11.5120000839233
2015-11-30,5.1,238.017,0.12,5108.67,54420.0,-99354,1172.0,157463,7.25,11.5120000839233
2015-12-31,5.0,237.761,0.24,5007.41,54420.0,-99354,1146.0,158035,7.25,11.5120000839233
2016-01-31,4.9,237.827,0.34,4613.95,54640.0,-103250,1103.0,158342,7.25,10.3179998397827
2016-02-29,4.9,237.514,0.38,4557.95,54640.0,-103250,1203.0,158653,7.25,10.3179998397827
2016-03-31,5.0,237.990,0.36,4869.85,54640.0,-103250,1114.0,159103,7.25,10.3179998397827
2016-04-30,5.0,238.835,0.37,4775.36,54722.0,-98979,1158.0,158981,7.25,10.3179998397827
2016-05-31,4.8,239.440,0.37,4948.05,54722.0,-98979,1131.0,158787,7.25,10.3179998397827
2016-06-30,4.9,240.144,0.38,4842.67,54722.0,-98979,1200.0,158973,7.25,10.3179998397827
2016-07-31,4.8,240.111,0.39,5162.13,54918.0,-98931,1245.0,159123,7.25,10.3179998397827
2016-08-31,4.9,240.595,0.40,5213.22,54918.0,-98931,1155.0,159579,7.25,10.3179998397827
